energy, number of points
8830.840820,39403.000000
7242.950684,37831.000000
5939.904785,35533.000000
6115.971680,33307.000000
6339.631836,31863.000000
5129.160645,29757.000000
4190.276855,28393.000000
4166.582031,27061.000000
3741.795654,25761.000000
3621.298828,24493.000000
3329.110107,23257.000000
2854.938232,22651.000000
2776.442383,21463.000000
2426.322510,20307.000000
1992.520264,19741.000000
2437.817871,18633.000000
1748.154907,18091.000000
1763.724243,17557.000000
1876.973389,16513.000000
1651.538330,16003.000000
1250.135132,15501.000000
1767.975952,15007.000000
1287.601440,14521.000000
1073.330444,14043.000000
1112.213379,13573.000000
754.059692,13111.000000
895.494263,12657.000000
1081.792114,12211.000000
827.268433,11773.000000
939.900024,11343.000000
555.325073,10921.000000
829.074585,10507.000000
794.930054,10507.000000
489.492737,10101.000000
643.713257,9703.000000
546.689087,9313.000000
398.166687,9313.000000
452.984650,8931.000000
424.174530,8557.000000
356.183136,8557.000000
441.806763,8191.000000
280.745026,7833.000000
465.577484,7833.000000
614.403931,7483.000000
351.394623,7483.000000
397.198822,7141.000000
255.228363,7141.000000
167.533035,6807.000000
315.706299,6481.000000
178.425766,6481.000000
302.893036,6163.000000
221.403870,6163.000000
251.954727,6163.000000
182.421738,5853.000000
282.792664,5853.000000
324.860748,5551.000000
303.775909,5551.000000
247.747635,5257.000000
168.647141,5257.000000
143.559372,5257.000000
214.751480,4971.000000
120.177498,4971.000000
258.506989,4693.000000
158.473099,4693.000000
131.108490,4693.000000
103.373833,4423.000000
188.348175,4423.000000
71.375092,4423.000000
237.442795,4161.000000
99.219536,4161.000000
130.295151,4161.000000
133.335220,3907.000000
100.108521,3907.000000
108.118210,3907.000000
127.731911,3907.000000
113.015053,3661.000000
125.531776,3661.000000
118.135414,3661.000000
109.463989,3423.000000
96.183632,3423.000000
86.929970,3423.000000
100.462341,3423.000000
112.417374,3193.000000
106.725777,3193.000000
68.497475,3193.000000
64.717728,3193.000000
108.091309,2971.000000
67.486832,2971.000000
79.261086,2971.000000
92.796066,2971.000000
34.871365,2971.000000
74.683327,2757.000000
50.009872,2757.000000
86.706032,2757.000000
58.337772,2757.000000
105.876045,2551.000000
82.175049,2551.000000
85.765701,2551.000000
92.908386,2551.000000
47.883186,2551.000000
35.678856,2353.000000
78.837433,2353.000000
49.650940,2353.000000
39.956989,2353.000000
52.120316,2353.000000
58.996578,2353.000000
60.891071,2163.000000
37.741634,2163.000000
44.720093,2163.000000
41.785664,2163.000000
43.000324,2163.000000
29.094421,2163.000000
58.841137,1981.000000
29.129471,1981.000000
26.628307,1981.000000
12.947487,1981.000000
25.025625,1981.000000
37.825226,1981.000000
46.822918,1981.000000
53.094681,1807.000000
30.793531,1807.000000
22.511770,1807.000000
19.470829,1807.000000
14.294475,1807.000000
15.765875,1807.000000
17.398632,1807.000000
63.040890,1641.000000
31.086023,1641.000000
17.652029,1641.000000
37.896202,1641.000000
27.812927,1641.000000
28.726189,1641.000000
47.806950,1641.000000
31.204165,1641.000000
20.763842,1483.000000
19.394255,1483.000000
31.891699,1483.000000
13.392846,1483.000000
9.646246,1483.000000
15.685251,1483.000000
16.908068,1483.000000
25.102600,1483.000000
29.906570,1483.000000
19.366903,1333.000000
15.059069,1333.000000
12.604680,1333.000000
29.546476,1333.000000
26.033403,1333.000000
19.396156,1333.000000
21.216686,1333.000000
14.650644,1333.000000
10.478601,1333.000000
