Distance,Azimuth,Elevations
29.900000,-29.663010,0.151342
29.900000,-28.452272,0.151342
29.900000,-27.241539,0.151342
29.900000,-26.030804,0.151342
29.900000,-24.820068,0.151342
29.900000,-23.609335,0.151342
29.900000,-22.398598,0.151342
29.900000,-21.187862,0.151342
29.900000,-19.977129,0.151342
29.900000,-18.766394,0.151342
29.900000,-17.555658,0.151342
29.900000,-16.344923,0.151342
29.900000,-15.134188,0.151342
29.900000,-13.923453,0.151342
29.900000,-12.712718,0.151342
29.900000,-11.501983,0.151342
29.900000,-10.291248,0.151342
29.900000,-9.080513,0.151342
29.900000,-7.869778,0.151342
29.900000,-6.659043,0.151342
29.900000,-5.448308,0.151342
29.900000,-4.237573,0.151342
29.900000,-3.026838,0.151342
29.900000,-1.816103,0.151342
29.900000,-0.605367,0.151342
29.900000,0.605367,0.151342
29.900000,1.816103,0.151342
29.900000,3.026838,0.151342
29.900000,4.237573,0.151342
29.900000,5.448308,0.151342
29.900000,6.659043,0.151342
29.900000,7.869778,0.151342
29.900000,9.080513,0.151342
29.900000,10.291248,0.151342
29.900000,11.501983,0.151342
29.900000,12.712718,0.151342
29.900000,13.923453,0.151342
29.900000,15.134188,0.151342
29.900000,16.344923,0.151342
29.900000,17.555658,0.151342
29.900000,18.766394,0.151342
29.900000,19.977129,0.151342
29.900000,21.187862,0.151342
29.900000,22.398598,0.151342
29.900000,23.609335,0.151342
29.900000,24.820068,0.151342
29.900000,26.030804,0.151342
29.900000,27.241539,0.151342
29.900000,28.452272,0.151342
29.900000,29.965693,0.151342
29.900000,-29.663010,0.756709
29.900000,-28.452272,0.756709
29.900000,-27.241539,0.756709
29.900000,-26.030804,0.756709
29.900000,-24.820068,0.756709
29.900000,-23.609335,0.756709
29.900000,-22.398598,0.756709
29.900000,-21.187862,0.756709
29.900000,-19.977129,0.756709
29.900000,-18.766394,0.756709
29.900000,-17.555658,0.756709
29.900000,-16.344923,0.756709
29.900000,-15.134188,0.756709
29.900000,-13.923453,0.756709
29.900000,-12.712718,0.756709
29.900000,-11.501983,0.756709
29.900000,-10.291248,0.756709
29.900000,-9.080513,0.756709
29.900000,-7.869778,0.756709
29.900000,-6.659043,0.756709
29.900000,-5.448308,0.756709
29.900000,-4.237573,0.756709
29.900000,-3.026838,0.756709
29.900000,-1.816103,0.756709
29.900000,-0.605367,0.756709
29.900000,0.605367,0.756709
29.900000,1.816103,0.756709
29.900000,3.026838,0.756709
29.900000,4.237573,0.756709
29.900000,5.448308,0.756709
29.900000,6.659043,0.756709
29.900000,7.869778,0.756709
29.900000,9.080513,0.756709
29.900000,10.291248,0.756709
29.900000,11.501983,0.756709
29.900000,12.712718,0.756709
29.900000,13.923453,0.756709
29.900000,15.134188,0.756709
29.900000,16.344923,0.756709
29.900000,17.555658,0.756709
29.900000,18.766394,0.756709
29.900000,19.977129,0.756709
29.900000,21.187862,0.756709
29.900000,22.398598,0.756709
29.900000,23.609335,0.756709
29.900000,24.820068,0.756709
29.900000,26.030804,0.756709
29.900000,27.241539,0.756709
29.900000,28.452272,0.756709
29.900000,29.965693,0.756709
29.900000,-29.663010,1.362077
29.900000,-28.452272,1.362077
29.900000,-27.241539,1.362077
29.900000,-26.030804,1.362077
29.900000,-24.820068,1.362077
29.900000,-23.609335,1.362077
29.900000,-22.398598,1.362077
29.900000,-21.187862,1.362077
29.900000,-19.977129,1.362077
29.900000,-18.766394,1.362077
29.900000,-17.555658,1.362077
29.900000,-16.344923,1.362077
29.900000,-15.134188,1.362077
29.900000,-13.923453,1.362077
29.900000,-12.712718,1.362077
29.900000,-11.501983,1.362077
29.900000,-10.291248,1.362077
29.900000,-9.080513,1.362077
29.900000,-7.869778,1.362077
29.900000,-6.659043,1.362077
29.900000,-5.448308,1.362077
29.900000,-4.237573,1.362077
29.900000,-3.026838,1.362077
29.900000,-1.816103,1.362077
29.900000,-0.605367,1.362077
29.900000,0.605367,1.362077
29.900000,1.816103,1.362077
29.900000,3.026838,1.362077
29.900000,4.237573,1.362077
29.900000,5.448308,1.362077
29.900000,6.659043,1.362077
29.900000,7.869778,1.362077
29.900000,9.080513,1.362077
29.900000,10.291248,1.362077
29.900000,11.501983,1.362077
29.900000,12.712718,1.362077
29.900000,13.923453,1.362077
29.900000,15.134188,1.362077
29.900000,16.344923,1.362077
29.900000,17.555658,1.362077
29.900000,18.766394,1.362077
29.900000,19.977129,1.362077
29.900000,21.187862,1.362077
29.900000,22.398598,1.362077
29.900000,23.609335,1.362077
29.900000,24.820068,1.362077
29.900000,26.030804,1.362077
29.900000,27.241539,1.362077
29.900000,28.452272,1.362077
29.900000,29.965693,1.362077
29.900000,-29.663010,1.967445
29.900000,-28.452272,1.967445
29.900000,-27.241539,1.967445
29.900000,-26.030804,1.967445
29.900000,-24.820068,1.967445
29.900000,-23.609335,1.967445
29.900000,-22.398598,1.967445
29.900000,-21.187862,1.967445
29.900000,-19.977129,1.967445
29.900000,-18.766394,1.967445
29.900000,-17.555658,1.967445
29.900000,-16.344923,1.967445
